dim,type,exit_code,pp512_tps,pp512_tps_vs_q8_pct,tg128_tps,tg128_tps_vs_q8_pct,pg32768_256_tps,pg32768_256_tps_vs_q8_pct
D64,f16,0,12258.977483,104.4,356.443722,112.84,8362.364232,108.16
D64,q8_0,0,11742.319605,100.0,315.891544,100.0,7731.765489,100.0
D64,q4_0,0,11915.189756,101.47,317.029119,100.36,7737.221429,100.07
D64,pq2,0,11613.581697,98.9,335.027472,106.06,6642.821364,85.92
D64,tq2,0,11695.46676,99.6,334.557319,105.91,6641.63852,85.9
D64,pq3,0,11585.763232,98.67,330.421794,104.6,6491.616845,83.96
D64,tq3,0,11709.391387,99.72,330.413058,104.6,6492.426158,83.97
D64,pq4,0,11734.03887,99.93,329.667523,104.36,5678.528251,73.44
D64,tq4,0,11731.870126,99.91,329.977471,104.46,5668.59955,73.32
D128,f16,0,18480.958747,107.19,309.713186,118.82,6241.87979,107.1
D128,q8_0,0,17241.621058,100.0,260.663939,100.0,5828.199741,100.0
D128,q4_0,0,17287.542297,100.27,260.543994,99.95,5832.728986,100.08
D128,pq2,0,16789.167947,97.38,277.15376,106.33,4566.248676,78.35
D128,tq2,0,16669.027987,96.68,274.180151,105.19,4521.632331,77.58
D128,pq3,0,16773.314008,97.28,273.839095,105.05,4312.192628,73.99
D128,tq3,0,16824.472564,97.58,270.763107,103.87,4235.165264,72.67
D128,pq4,0,16834.784987,97.64,272.164583,104.41,3312.664998,56.84
D128,tq4,0,16766.502129,97.24,265.233687,101.75,3298.640259,56.6
D256,f16,0,14777.563383,100.84,257.234423,104.82,8613.068765,100.98
D256,q8_0,0,14654.293095,100.0,245.401569,100.0,8529.553313,100.0
D256,q4_0,0,14656.404661,100.01,244.524745,99.64,8483.088142,99.46
D256,pq2,0,14579.177975,99.49,248.050392,101.08,7521.893567,88.19
D256,tq2,0,14697.603895,100.3,246.763728,100.56,7503.578526,87.97
D256,pq3,0,14665.050016,100.07,244.255691,99.53,7336.633876,86.01
D256,tq3,0,14641.880148,99.92,243.705831,99.31,7308.582877,85.69
D256,pq4,0,14587.322901,99.54,247.671868,100.93,6551.661113,76.81
D256,tq4,0,14456.254459,98.65,245.461027,100.02,6548.181063,76.77
