dim,type,exit_code,ppl,ppl_vs_q8_pct
D64,f16,0,165.4633,99.57
D64,q8_0,0,166.1781,100.0
D64,q4_0,0,176.2753,106.08
D64,pq2,0,1889.227,1136.87
D64,tq2,0,290.8123,175.0
D64,pq3,0,377.2331,227.01
D64,tq3,0,200.9455,120.92
D64,pq4,0,197.4017,118.79
D64,tq4,0,180.588,108.67
D128,f16,0,11.8863,99.98
D128,q8_0,0,11.8885,100.0
D128,q4_0,0,12.1373,102.09
D128,pq2,0,35.0442,294.77
D128,tq2,0,14.4275,121.36
D128,pq3,0,15.926,133.96
D128,tq3,0,12.5616,105.66
D128,pq4,0,12.5415,105.49
D128,tq4,0,12.2369,102.93
D256,f16,0,10.1322,100.02
D256,q8_0,0,10.1299,100.0
D256,q4_0,0,10.165,100.35
D256,pq2,0,10.8659,107.27
D256,tq2,0,10.6644,105.28
D256,pq3,0,10.269,101.37
D256,tq3,0,10.2255,100.94
D256,pq4,0,10.2338,101.03
D256,tq4,0,10.2147,100.84
