dim,type,exit_code,pp512_tps,pp512_tps_vs_q8_pct,tg128_tps,tg128_tps_vs_q8_pct,pg32768_256_tps,pg32768_256_tps_vs_q8_pct
D64,f16,0,10737.234598,102.47,327.36472,114.4,7395.576843,107.33
D64,q8_0,0,10478.006042,100.0,286.156166,100.0,6890.240628,100.0
D64,q4_0,0,10625.093718,101.4,285.431141,99.75,6876.017401,99.79
D64,pq2,0,10210.302869,97.45,310.552742,108.53,5853.159081,84.95
D64,tq2,0,10270.828315,98.02,309.824324,108.27,5863.846441,85.1
D64,pq3,0,10262.18081,97.94,306.076191,106.96,5727.949818,83.13
D64,tq3,0,10224.030064,97.58,305.351396,106.71,5725.154108,83.09
D64,pq4,0,10244.878732,97.78,304.039063,106.25,4973.598387,72.18
D64,tq4,0,10110.7154,96.49,302.280279,105.63,4967.875901,72.1
D128,f16,0,16503.286483,107.92,281.160953,119.27,5977.98963,108.84
D128,q8_0,0,15292.199483,100.0,235.738295,100.0,5492.680927,100.0
D128,q4_0,0,15427.470969,100.88,235.584981,99.93,5464.032349,99.48
D128,pq2,0,14902.328146,97.45,249.682929,105.92,4100.132486,74.65
D128,tq2,0,14882.427601,97.32,247.563471,105.02,4062.587688,73.96
D128,pq3,0,14688.888494,96.05,247.242715,104.88,3873.536914,70.52
D128,tq3,0,14877.373865,97.29,243.602401,103.34,3829.04113,69.71
D128,pq4,0,14883.121427,97.32,242.990414,103.08,2921.944778,53.2
D128,tq4,0,14758.289621,96.51,239.50656,101.6,2908.009645,52.94
D256,f16,0,13398.12181,102.96,234.892512,104.26,7832.112093,101.54
D256,q8_0,0,13012.522018,100.0,225.29589,100.0,7713.177171,100.0
D256,q4_0,0,12874.426606,98.94,225.023522,99.88,7695.369816,99.77
D256,pq2,0,13053.248234,100.31,228.667722,101.5,6706.905199,86.95
D256,tq2,0,12928.277683,99.35,226.926566,100.72,6673.69511,86.52
D256,pq3,0,13122.295004,100.84,224.383713,99.6,6579.87824,85.31
D256,tq3,0,13057.963537,100.35,223.026113,98.99,6548.652252,84.9
D256,pq4,0,13015.785207,100.03,225.743993,100.2,5813.949269,75.38
D256,tq4,0,12997.065218,99.88,225.139026,99.93,5814.029136,75.38
